,0,1,2,3,4,5,6
301,Manual MBES Boulder,302386.957,5993136.641,22.5,1.561,1.019,0.141
302,Manual MBES Boulder,300156.889,5992143.615,17.97,2.03,1.018,0.214
303,Manual MBES Boulder,299916.888,5993879.026,18.75,1.865,1.39,0.522
304,Manual MBES Boulder,299530.903,5992719.777,17.86,1.633,1.135,0.241
305,Manual MBES Boulder,298940.673,5992635.332,15.65,1.326,1.266,0.406
306,Manual MBES Boulder,298940.397,5992637.82,15.49,1.379,1.133,0.578
307,Manual MBES Boulder,298938.989,5992633.746,15.94,0.747,0.767,0.204
308,Manual MBES Boulder,300149.217,5991961.829,17.84,1.138,1.02,0.216
309,Manual MBES Boulder,299922.8,5993554.665,18.83,1.655,1.163,0.165
310,Manual MBES Boulder,299695.625,5995305.332,19.21,1.836,1.614,0.498
311,Manual MBES Boulder,300255.353,5991135.23,17.7,2.613,1.147,0.338
312,Manual MBES Boulder,302403.494,5993121.255,22.58,2.65,0.954,0.177
313,Manual MBES Boulder,300124.18,5992183.155,17.94,0.96,0.676,0.151
314,Manual MBES Boulder,300853.777,5992875.459,21.22,1.141,1.164,0.361
315,Manual MBES Boulder,300201.416,5991741.618,17.56,1.952,1.339,0.395
316,Manual MBES Boulder,300135.174,5991905.844,17.54,1.032,0.724,0.25
317,Manual MBES Boulder,300306.11,5992814.452,18.83,1.58,1.218,0.17
318,Manual MBES Boulder,300266.001,5991091.892,17.23,2.42,1.124,0.373
319,Manual MBES Boulder,303352.579,5993183.237,24.52,2.056,1.614,0.748
320,Manual MBES Boulder,301659.556,5993017.941,22.23,1.077,1.038,0.186
321,Manual MBES Boulder,301657.195,5993017.109,22.32,1.267,0.677,0.123
322,Manual MBES Boulder,302333.156,5993127.162,22.36,2.153,0.799,0.214
323,Manual MBES Boulder,302334.492,5993127.042,22.08,1.319,1.154,0.412
324,Manual MBES Boulder,300302.012,5992813.132,18.81,1.457,0.766,0.182
325,Manual MBES Boulder,300301.579,5992810.743,18.7,1.182,1.108,0.174
326,Manual MBES Boulder,300302.55,5992814.833,18.85,0.873,0.658,0.127
327,Manual MBES Boulder,303507.531,5993162.948,26.47,1.624,1.467,0.194
328,Manual MBES Boulder,300132.929,5992131.023,18.07,2.632,1.083,0.168
329,Manual MBES Boulder,300039.38,5992812.853,18.47,1.156,0.814,0.164
330,Manual MBES Boulder,300141.502,5991942.096,17.66,1.435,1.243,0.374
331,Manual MBES Boulder,300143.254,5991942.616,17.66,1.605,1.193,0.235
332,Manual MBES Boulder,299998.998,5993243.812,18.82,1.256,0.477,0.111
333,Manual MBES Boulder,298881.504,5992595.717,16.12,1.382,0.725,0.171
